GEOID,dac_status,nearest_sta_miles,second_nearest_sta_miles,stas_05mi,stas_10mi,stas_20mi,stas_55mi,stations,bg_sta1d,bg_sta2d
060014053011,not DAC status,0.8921154629346006,3.239659997275202,2,2,7,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014053012,not DAC status,1.3172392821677743,3.4265843716186226,2,3,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014053021,not DAC status,1.4143889868932622,3.2597724895235083,2,3,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014053022,not DAC status,1.4943383507530181,3.494672372780588,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014054011,75-80%,1.6212590518596963,3.7306041413105446,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014054012,75-80%,1.6585724846955172,3.7679175741463657,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014054013,75-80%,1.7661846373948884,3.6266159649801692,2,2,6,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014054021,not DAC status,1.9719833765176635,3.9681470783817097,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014054022,not DAC status,1.9315824349442734,4.040927524395122,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014055001,not DAC status,2.3813955802218763,4.496985546408327,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014055002,not DAC status,2.3813955802218763,4.496985546408327,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014055003,not DAC status,1.7984978578298454,3.907842947280694,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014055004,not DAC status,1.809069997133328,3.9184150865841767,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014056001,not DAC status,1.3433175477454018,3.68736629444852,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014056002,not DAC status,1.5485414283424168,3.892590175045535,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014056003,not DAC status,1.6598598363026158,4.003908583005734,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
